I;Time;Address;Status;Reason
1;1694299999;archive.cc;;autogen
2;1694299999;archive.cc/;;autogen
3;1694299999;archive.cc/ann;;autogen
4;1694299999;archive.cc/announce;;autogen
5;1694300088;archive.cc:80;;autogen
6;1694300088;archive.cc:80/;;autogen
7;1694300088;archive.cc:80/ann;;autogen
8;1694300088;archive.cc:80/announce;;autogen
9;1694300088;archive.cc:443;;autogen
10;1694300088;archive.cc:443/;;autogen
11;1694300088;archive.cc:443/ann;;autogen
12;1694300088;archive.cc:443/announce;;autogen
13;1694300088;archive.cc:8080;;autogen
14;1694300088;archive.cc:8080/;;autogen
15;1694300088;archive.cc:8080/ann;;autogen
16;1694300088;archive.cc:8080/announce;;autogen
17;1694300088;archive.cc:2710;;autogen
18;1694300088;archive.cc:2710/;;autogen
19;1694300088;archive.cc:2710/ann;;autogen
20;1694300088;archive.cc:2710/announce;;autogen
21;1694300088;archive.cc:6881;;autogen
22;1694300088;archive.cc:6881/;;autogen
23;1694300088;archive.cc:6881/ann;;autogen
24;1694300088;archive.cc:6881/announce;;autogen
25;1694300088;archive.cc:6882;;autogen
26;1694300088;archive.cc:6882/;;autogen
27;1694300088;archive.cc:6882/ann;;autogen
28;1694300088;archive.cc:6882/announce;;autogen
29;1694300088;archive.cc:6883;;autogen
30;1694300088;archive.cc:6883/;;autogen
31;1694300088;archive.cc:6883/ann;;autogen
32;1694300088;archive.cc:6883/announce;;autogen
33;1694300088;archive.cc:6884;;autogen
34;1694300088;archive.cc:6884/;;autogen
35;1694300088;archive.cc:6884/ann;;autogen
36;1694300088;archive.cc:6884/announce;;autogen
37;1694300088;archive.cc:6885;;autogen
38;1694300088;archive.cc:6885/;;autogen
39;1694300088;archive.cc:6885/ann;;autogen
40;1694300088;archive.cc:6885/announce;;autogen
41;1694300088;archive.cc:6886;;autogen
42;1694300088;archive.cc:6886/;;autogen
43;1694300088;archive.cc:6886/ann;;autogen
44;1694300088;archive.cc:6886/announce;;autogen
45;1694300088;archive.cc:6887;;autogen
46;1694300088;archive.cc:6887/;;autogen
47;1694300088;archive.cc:6887/ann;;autogen
48;1694300088;archive.cc:6887/announce;;autogen
49;1694300088;archive.cc:6888;;autogen
50;1694300088;archive.cc:6888/;;autogen
51;1694300088;archive.cc:6888/ann;;autogen
52;1694300088;archive.cc:6888/announce;;autogen
53;1694300088;archive.cc:6889;;autogen
54;1694300088;archive.cc:6889/;;autogen
55;1694300088;archive.cc:6889/ann;;autogen
56;1694300088;archive.cc:6889/announce;;autogen
57;1694300088;archive.cc:6969;;autogen
58;1694300088;archive.cc:6969/;;autogen
59;1694300088;archive.cc:6969/ann;;autogen
60;1694300088;archive.cc:6969/announce;;autogen
